[2023-12-12 22:39:02,435] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,446] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,457] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,468] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,479] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,490] INFO [Broker id=0] Leader testTopic-0 with topic id Some(FtaimQW9QxSDX48sglGMhA) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,491] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,502] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,513] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,525] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
